location,lon,lat,population,ID,ID_Gem,Ai_walk_correct,Ai_walk_optimum,Ai_z_norm_correct,Ai_z_norm_optimized
1,8.532721,47.32908,49,13101014,131,0,4.1089234156602e-4,0,5.351320874783435e-4
2,8.533952,47.32457,32,13101014,131,0,3.5505795501206e-4,0,5.351320874783435e-4
3,8.53397,47.32547,17,13101014,131,0,4.4468027838032e-4,0,5.351320874783435e-4
4,8.533989,47.32637,14,13101014,131,0,5.4516741029435e-4,0,5.351320874783435e-4
5,8.534007,47.32727,31,13101014,131,0,6.401598108739e-4,0,5.351320874783435e-4
6,8.534026,47.32817,10,13101014,131,0,2.9402121038784e-4,0,5.351320874783435e-4
7,8.534044,47.32907,41,13101014,131,0,3.3094866882916e-4,0,5.351320874783435e-4
8,8.534063,47.32997,76,13101014,131,0,6.8780772085395e-4,0,5.351320874783435e-4
9,8.535182,47.32006,10,13101014,131,0,0,0,5.351320874783435e-4
10,8.535201,47.32096,44,13101014,131,0,2.1484272898855e-4,0,5.351320874783435e-4
11,8.535275,47.32456,17,13501001,135,0,5.84730887643e-4,1.2338796432676767e-4,8.444254196935706e-4
12,8.535293,47.32546,32,13501001,135,0,5.9782381186374e-4,1.2338796432676767e-4,8.444254196935706e-4
13,8.535312,47.32636,30,13501001,135,0,5.5289079613276e-4,1.2338796432676767e-4,8.444254196935706e-4
14,8.53533,47.32726,47,13501001,135,0,6.9734967561282e-4,1.2338796432676767e-4,8.444254196935706e-4
15,8.535348,47.32816,63,13501001,135,0,7.4665148049397e-4,1.2338796432676767e-4,8.444254196935706e-4
16,8.535367,47.32906,32,13101014,131,0,8.4888578830458e-4,0,5.351320874783435e-4
17,8.535385,47.32995,70,13101014,131,0,8.0048439632799e-4,0,5.351320874783435e-4
18,8.536616,47.32545,14,13501001,135,2.1527316894089e-4,7.4846961334774e-4,1.2338796432676767e-4,8.444254196935706e-4
19,8.536634,47.32634,78,13501001,135,2.0760134114373e-4,7.3007745814001e-4,1.2338796432676767e-4,8.444254196935706e-4
20,8.536653,47.32724,78,13501001,135,1.8160658285223e-4,8.1467176803728e-4,1.2338796432676767e-4,8.444254196935706e-4
21,8.536671,47.32814,27,13501001,135,0,8.7389850586005e-4,1.2338796432676767e-4,8.444254196935706e-4
22,8.536708,47.32994,56,13501001,135,0,9.3451901644808e-4,1.2338796432676767e-4,8.444254196935706e-4
23,8.536727,47.33084,88,13501001,135,0,8.1245123888439e-4,1.2338796432676767e-4,8.444254196935706e-4
24,8.537772,47.31734,12,13501001,135,0,5.9052475079872e-4,1.2338796432676767e-4,8.444254196935706e-4
25,8.537846,47.32094,16,13501001,135,2.2158451662101e-4,7.5698901054556e-4,1.2338796432676767e-4,8.444254196935706e-4
26,8.537864,47.32184,14,13501001,135,2.7688258961286e-4,7.3912390466721e-4,1.2338796432676767e-4,8.444254196935706e-4
27,8.537957,47.32633,33,13501001,135,2.8262533344897e-4,8.746433161208e-4,1.2338796432676767e-4,8.444254196935706e-4
28,8.537976,47.32723,60,13501001,135,0,8.7806797521363e-4,1.2338796432676767e-4,8.444254196935706e-4
