,id,lat,lon,name,town,capacity,new_lat,new_lon
1,7,47.3077595,8.554201,Pill Apotheke & Drogerie Glärnisch,Rüschlikon,3.5987,47.25701717,8.59572288
2,1,47.2602777,8.5987164,Central Apotheke,Horgen,4.2102,47.28951669,8.564625229
3,6,47.2949154,8.5648496,Central Apotheke Thalwil,Thalwil,8.694,47.25392595,8.60932982
4,3,47.2590883,8.5984176,TopPharm Apotheke zum Erzberg,Horgen,4.4204,47.26679549,8.583513022
5,8,47.278881,8.575532,Sternen Apotheke,Oberrrieden,4.7454,47.32833353,8.540282897
6,9,47.2956338,8.5635726,Gotthard Apotheke,Thalwil,6.121,47.29750001,8.558278949
7,5,47.3241085,8.5484968,Bahnhof-Apotheke,Kilchberg,3.5095,47.31944603,8.545434461
8,2,47.294367,8.5641498,Hirsig,Thalwil,11.4204,47.27852821,8.574781956
9,4,47.296665,8.5619532,Coop Vitality,Thalwil,8.7451,47.30901464,8.552791687
10,10,47.2453634,8.6083379,Pill Apotheke Waldegg,Horgen,4.5095,47.24760322,8.604828998
