"location","lon","lat","population"
1,8.53272139142284,47.3290803742364,49
2,8.53395186409398,47.3245710731629,32
3,8.53397032777264,47.325470424352,17
4,8.53398879207589,47.3263697753034,14
5,8.53400725700377,47.3272691260169,31
6,8.53402572255633,47.3281684764922,10
7,8.53404418873359,47.3290678267292,41
8,8.53406265553559,47.3299671767276,76
9,8.53518212867069,47.3200617530771,10
10,8.53520061153188,47.3209611052417,44
11,8.5352745492287,47.3245585115318,17
12,8.5352930352161,47.3254578625112,32
13,8.53531152182886,47.3263572132529,30
14,8.535330009067,47.3272565637566,47
15,8.53534849693057,47.3281559140221,63
16,8.53536698541959,47.3290552640494,32
17,8.53538547453412,47.329954613838,70
18,8.53661574203422,47.3254452854987,14
19,8.53663425095644,47.3263446360304,78
20,8.5366527605048,47.3272439863241,78
21,8.53667127067934,47.3281433363796,27
22,8.53670829290711,47.3299420357754,56
23,8.53672680496041,47.3308413851151,88
24,8.53777169534572,47.3173385297509,12
25,8.53784580147014,47.3209359381461,16
26,8.53786432956785,47.3218352896539,14
27,8.53795697945787,47.3263320436359,33
28,8.53797551131642,47.3272313937194,60
29,8.53799404380191,47.3281307435647,78
30,8.53801257691436,47.3290300931716,69
31,8.53803111065382,47.3299294425399,93
32,8.53804964502032,47.3308287916693,119
33,8.53907565289373,47.3164265718111,37
34,8.53909420016026,47.3173259242894,74
35,8.53911274805408,47.3182252765319,55
36,8.53913129657522,47.3191246285384,17
37,8.53914984572372,47.3200239803088,60
38,8.53916839549963,47.3209233318428,35
39,8.53918694590296,47.3218226831401,7
40,8.53922404859208,47.323621385024,18
41,8.53924260087793,47.3245207356101,53
42,8.53926115379136,47.3254200859587,44
43,8.53927970733241,47.3263194360696,87
44,8.53929826150111,47.3272187859426,111
45,8.53931681629749,47.3281181355773,115
46,8.53933537172161,47.3290174849737,73
47,8.53935392777348,47.3299168341314,51
48,8.53937248445315,47.3308161830503,53
49,8.53939104176066,47.3317155317302,72
50,8.53940959969603,47.3326148801708,39
